date,bitkub_unscaled,bitkub_monthly,isPartial,scale,bitkub
2020-12-01,0,,,,
2020-12-02,97,,,,
2020-12-03,100,,,,
2020-12-04,0,,,,
2020-12-05,0,,,,
2020-12-06,0,35.0,False,0.35,0.0
2020-12-07,0,35.0,,0.35,0.0
2020-12-08,0,35.0,,0.35,0.0
2020-12-09,0,35.0,,0.35,0.0
2020-12-10,0,35.0,,0.35,0.0
2020-12-11,0,35.0,,0.35,0.0
2020-12-12,0,35.0,,0.35,0.0
2020-12-13,0,0.0,False,0.0,0.0
2020-12-14,70,0.0,,0.0,0.0
2020-12-15,0,0.0,,0.0,0.0
2020-12-16,0,0.0,,0.0,0.0
2020-12-17,0,0.0,,0.0,0.0
2020-12-18,0,0.0,,0.0,0.0
2020-12-19,0,0.0,,0.0,0.0
2020-12-20,0,61.0,False,0.61,0.0
2020-12-21,0,61.0,,0.61,0.0
2020-12-22,0,61.0,,0.61,0.0
2020-12-23,0,61.0,,0.61,0.0
2020-12-24,0,61.0,,0.61,0.0
2020-12-25,0,61.0,,0.61,0.0
2020-12-26,69,61.0,,0.61,42.089999999999996
2020-12-27,0,22.0,False,0.22,0.0
2020-12-28,80,22.0,,0.22,17.6
2020-12-29,0,22.0,,0.22,0.0
2020-12-30,0,22.0,,0.22,0.0
2020-12-31,0,22.0,,0.22,0.0
2021-01-01,0,22.0,,0.22,0.0
2021-01-02,0,22.0,,0.22,0.0
2021-01-03,0,60.0,False,0.6,0.0
2021-01-04,0,60.0,,0.6,0.0
2021-01-05,49,60.0,,0.6,29.4
2021-01-06,0,60.0,,0.6,0.0
2021-01-07,0,60.0,,0.6,0.0
2021-01-08,46,60.0,,0.6,27.599999999999998
2021-01-09,100,60.0,,0.6,60.0
2021-01-10,71,37.0,False,0.37,26.27
2021-01-11,93,37.0,,0.37,34.41
2021-01-12,0,37.0,,0.37,0.0
2021-01-13,0,37.0,,0.37,0.0
2021-01-14,0,37.0,,0.37,0.0
2021-01-15,0,37.0,,0.37,0.0
2021-01-16,0,37.0,,0.37,0.0
2021-01-17,49,0.0,False,0.0,0.0
2021-01-18,0,0.0,,0.0,0.0
2021-01-19,0,0.0,,0.0,0.0
2021-01-20,86,0.0,,0.0,0.0
2021-01-21,0,0.0,,0.0,0.0
2021-01-22,0,0.0,,0.0,0.0
2021-01-23,0,0.0,,0.0,0.0
2021-01-24,0,0.0,False,0.0,0.0
2021-01-25,0,0.0,,0.0,0.0
2021-01-26,0,0.0,,0.0,0.0
2021-01-27,0,0.0,,0.0,0.0
2021-01-28,0,0.0,,0.0,0.0
2021-01-29,0,0.0,,0.0,0.0
2021-01-30,0,0.0,,0.0,0.0
2021-01-31,0,0.0,False,0.0,0.0
2021-02-01,100,0.0,,0.0,0.0
2021-02-02,0,0.0,,0.0,0.0
2021-02-03,0,0.0,,0.0,0.0
2021-02-04,0,0.0,,0.0,0.0
2021-02-05,0,0.0,,0.0,0.0
2021-02-06,0,0.0,,0.0,0.0
2021-02-07,0,0.0,False,0.0,0.0
2021-02-08,0,0.0,,0.0,0.0
2021-02-09,0,0.0,,0.0,0.0
2021-02-10,0,0.0,,0.0,0.0
2021-02-11,80,0.0,,0.0,0.0
2021-02-12,89,0.0,,0.0,0.0
2021-02-13,0,0.0,,0.0,0.0
2021-02-14,0,0.0,False,0.0,0.0
2021-02-15,0,0.0,,0.0,0.0
2021-02-16,0,0.0,,0.0,0.0
2021-02-17,0,0.0,,0.0,0.0
2021-02-18,0,0.0,,0.0,0.0
2021-02-19,0,0.0,,0.0,0.0
2021-02-20,92,0.0,,0.0,0.0
2021-02-21,0,0.0,False,0.0,0.0
2021-02-22,67,0.0,,0.0,0.0
2021-02-23,73,0.0,,0.0,0.0
2021-02-24,0,0.0,,0.0,0.0
2021-02-25,65,0.0,,0.0,0.0
2021-02-26,0,0.0,,0.0,0.0
2021-02-27,0,0.0,,0.0,0.0
2021-02-28,0,37.0,False,0.37,0.0
2021-03-01,0,37.0,,0.37,0.0
2021-03-02,0,37.0,,0.37,0.0
2021-03-03,0,37.0,,0.37,0.0
2021-03-04,0,37.0,,0.37,0.0
2021-03-05,0,37.0,,0.37,0.0
2021-03-06,0,37.0,,0.37,0.0
2021-03-07,0,23.0,False,0.23,0.0
2021-03-08,0,23.0,,0.23,0.0
2021-03-09,0,23.0,,0.23,0.0
2021-03-10,0,23.0,,0.23,0.0
2021-03-11,0,23.0,,0.23,0.0
2021-03-12,0,23.0,,0.23,0.0
2021-03-13,0,23.0,,0.23,0.0
2021-03-14,0,0.0,False,0.0,0.0
2021-03-15,0,0.0,,0.0,0.0
2021-03-16,0,0.0,,0.0,0.0
2021-03-17,67,0.0,,0.0,0.0
2021-03-18,49,0.0,,0.0,0.0
2021-03-19,0,0.0,,0.0,0.0
2021-03-20,0,0.0,,0.0,0.0
2021-03-21,100,32.0,False,0.32,32.0
2021-03-22,0,32.0,,0.32,0.0
2021-03-23,0,32.0,,0.32,0.0
2021-03-24,0,32.0,,0.32,0.0
2021-03-25,0,32.0,,0.32,0.0
2021-03-26,46,32.0,,0.32,14.72
2021-03-27,0,32.0,,0.32,0.0
2021-03-28,0,100.0,False,1.0,0.0
2021-03-29,0,100.0,,1.0,0.0
2021-03-30,0,100.0,,1.0,0.0
2021-03-31,0,100.0,,1.0,0.0
2021-04-01,0,100.0,,1.0,0.0
2021-04-02,0,100.0,,1.0,0.0
2021-04-03,0,100.0,,1.0,0.0
2021-04-04,0,0.0,False,0.0,0.0
2021-04-05,0,0.0,,0.0,0.0
2021-04-06,0,0.0,,0.0,0.0
2021-04-07,29,0.0,,0.0,0.0
2021-04-08,0,0.0,,0.0,0.0
2021-04-09,0,0.0,,0.0,0.0
2021-04-10,0,0.0,,0.0,0.0
2021-04-11,0,34.0,False,0.34,0.0
2021-04-12,28,34.0,,0.34,9.520000000000001
2021-04-13,22,34.0,,0.34,7.48
2021-04-14,39,34.0,,0.34,13.260000000000002
2021-04-15,100,34.0,,0.34,34.0
2021-04-16,0,34.0,,0.34,0.0
2021-04-17,29,34.0,,0.34,9.860000000000001
2021-04-18,48,0.0,False,0.0,0.0
2021-04-19,0,0.0,,0.0,0.0
2021-04-20,0,0.0,,0.0,0.0
2021-04-21,0,0.0,,0.0,0.0
2021-04-22,0,0.0,,0.0,0.0
2021-04-23,0,0.0,,0.0,0.0
2021-04-24,0,0.0,,0.0,0.0
2021-04-25,0,0.0,False,0.0,0.0
2021-04-26,73,0.0,,0.0,0.0
2021-04-27,0,0.0,,0.0,0.0
2021-04-28,0,0.0,,0.0,0.0
2021-04-29,0,0.0,,0.0,0.0
2021-04-30,0,0.0,,0.0,0.0
2021-05-01,0,0.0,,0.0,0.0
2021-05-02,0,0.0,False,0.0,0.0
2021-05-03,0,0.0,,0.0,0.0
2021-05-04,41,0.0,,0.0,0.0
2021-05-05,0,0.0,,0.0,0.0
2021-05-06,0,0.0,,0.0,0.0
2021-05-07,0,0.0,,0.0,0.0
2021-05-08,0,0.0,,0.0,0.0
2021-05-09,0,0.0,False,0.0,0.0
2021-05-10,0,0.0,,0.0,0.0
2021-05-11,0,0.0,,0.0,0.0
2021-05-12,0,0.0,,0.0,0.0
2021-05-13,0,0.0,,0.0,0.0
2021-05-14,0,0.0,,0.0,0.0
2021-05-15,0,0.0,,0.0,0.0
2021-05-16,100,25.0,False,0.25,25.0
2021-05-17,0,25.0,,0.25,0.0
2021-05-18,0,25.0,,0.25,0.0
2021-05-19,0,25.0,,0.25,0.0
2021-05-20,0,25.0,,0.25,0.0
2021-05-21,0,25.0,,0.25,0.0
2021-05-22,0,25.0,,0.25,0.0
2021-05-23,0,0.0,False,0.0,0.0
2021-05-24,0,0.0,,0.0,0.0
2021-05-25,0,0.0,,0.0,0.0
2021-05-26,0,0.0,,0.0,0.0
2021-05-27,0,0.0,,0.0,0.0
2021-05-28,0,0.0,,0.0,0.0
2021-05-29,0,0.0,,0.0,0.0
2021-05-30,0,79.0,False,0.79,0.0
2021-05-31,0,79.0,,0.79,0.0
2021-06-01,55,79.0,,0.79,43.45
2021-06-02,41,79.0,,0.79,32.39
2021-06-03,0,79.0,,0.79,0.0
2021-06-04,0,79.0,,0.79,0.0
2021-06-05,0,79.0,,0.79,0.0
2021-06-06,0,30.0,False,0.3,0.0
2021-06-07,0,30.0,,0.3,0.0
2021-06-08,0,30.0,,0.3,0.0
2021-06-09,100,30.0,,0.3,30.0
2021-06-10,0,30.0,,0.3,0.0
2021-06-11,0,30.0,,0.3,0.0
2021-06-12,0,30.0,,0.3,0.0
